Paper,Author,Year,Population,Language,Task,Task2,ASD_N,TD_N,Accuracy,Sensitivity,Specificity,Precision,TP,TN,FP,FN
"(Santos, et al., 2013)",Santos,2013,A,Canadian English,Social Interaction,,23,20,0.977,0.956,1,NA,22,20,0,1
"(Oller, et al., 2010)",Oller,2010,B,American English,Social Interaction,Social Interaction,77,106,0.86,0.75,0.98,NA,58,104,2,19
"(Bonneh, et al., 2011)",Bonneh,2011,C,Hebrew,Spontaneous production,Lexical Elicitation,41,42,0.86,0.8,0.9,NA,33,38,4,8
"(Kiss, et al., 2012)",Kiss,2012,D,American English,Social Interaction,,14,28,0.74,0.86,NA,0.57,12,19,9,2
"(Kakihara, et al., 2015)",Kakihara,2015,E,Japanese,Spontaneous production,,30,54,0.749,NA,NA,NA,NA,NA,NA,NA
"(Asgari, et al., 2013)",Asgari,2013,F,French,Constrained production,,12,64,0.938,NA,NA,NA,NA,NA,NA,NA
"(Bone, et al., 2013)",Bone,2013,F,French,Constrained production,,12,64,NA,0.602,NA,NA,7,NA,NA,5
"(Fusaroli, et al., 2013)",Fusaroli,2013,G,Danish,Spontaneous production,Narrative Elicitation,10,13,0.86,0.884,0.854,NA,9,11,2,1
"(Fusaroli, Grossman, et al., 2015)",Fusaroli,2015,H,Danish,Spontaneous production,Narrative Elicitation,52,34,0.7165,0.5832,0.8442,NA,30,29,5,22
"(Fusaroli, Grossman, et al., 2015)",Fusaroli,2015,I,American English,Spontaneous production,Narrative Elicitation,26,34,0.8201,0.848,0.8139,NA,22,28,6,4
"(Fusaroli, Lambrechts, et al., 2015)",Fusaroli,2015,L,British English,Spontaneous production,Narrative Elicitation,17,17,0.819,0.8483,0.822,NA,14,14,3,3
"(Bone, et al., 2014)",Bone,2014,M,American English,Social Interaction,ADOS Interview,24,0,NA,NA,NA,NA,NA,NA,NA,NA
(Marchi et al 2016),Marchi,2016,N,English,Spontaneous,Sentence Elicitation,8,9,,0.783,NA,NA,NA,NA,NA,NA
(Marchi et al 2016),Marchi,2016,O,Swedish,Spontaneous,Sentence Elicitation,9,11,,0.864,NA,NA,NA,NA,NA,NA
(Marchi et al 2016),Marchi,2016,P,Hebrew,Spontaneous,Sentence Elicitation,7,10,,0.827,NA,NA,NA,NA,NA,NA
