Paper,Author,Year,Population,Language,Task,Task2,ASD_N,TD_N,PitchMeanASD_Mean,PitchMeanASD_SD,PitchMeanTD_Mean,PitchMeanTD_SD,PitchMeanASDvsTD,PitchRangeASD_Mean,PitchRangeASD_SD,PitchRangeTD_Mean,PitchRangeTD_SD,PitchRangeASDvsTD,PitchSDASD_Mean,PitchSDASD_SD,PitchSDTD_Mean,PitchSDTD_SD,PitchSDASDvsTD,IntensityMeanASD_Mean,IntensityMeanASD_SD,IntensityMeanTD_Mean,IntensityMeanTD_SD,IntensityMeanASDvsTD,UtteranceDurationASD_Mean,UtteranceDurationASD_SD,UtteranceDurationTD_Mean,UtteranceDurationTD_SD,UtteranceDurationASDvsTD,SyllableDurationASD_Mean,SyllableDurationASD_SD,SyllableDurationTD_Mean,SyllableDurationTD_SD,SyllableDurationASDvsTD,SpeechRateASD_Mean,SpeechRateASD_SD,SpeechRateTD_Mean,SpeechRateTD_SD,SpeechRateASDvsTD,PauseLengthASD_Mean,PauseLengthASD_SD,PauseLengthTD_Mean,PauseLengthTD_SD,PauseLengthASDvsTD,PauseNumberASD,PauseNumberASD_SD,PauseNumberTD,PauseNumberTD_SD,PauseNumberASDvsTD
"(Sharda, et al., 2010)",Sharda,2010,A,Hindi-English,Social Interaction,Social Interaction,15,10,358.8,61.7,275.4,22.5,Higher,559.6,84.9,464.7,41.2,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651,0.185,0.652,0.262,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Filipe, et al., 2014)",Filipe,2014,B,Portuguese,Spontaneous,Lexical Elicitation,12,17,264.72,23.19,242.74,28.59,Higher,142.3,47.4,97.5,36.38,Wider,NA,NA,NA,NA,NA,75,2.88,72.82,4.33,NS,1.08,0.15,0.89,0.5,Longer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Diehl, et al., 2009)",Diehl,2009,C,American English,Spontaneous,Narrative Elicitation,21,21,189.95,35.11,173.57,42.25,NS,58.77,16.46,45.2,14.73,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Diehl, et al., 2009)",Diehl,2009,D,American English,Spontaneous,Narrative Elicitation,17,21,212.25,36.48,207.84,34.93,NS,49.57,9.81,41.69,12.49,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Scharfstein, et al., 2011)",Scharfsteain,2011,E,American English,Social Interaction,Social Interaction,30,30,282.94,28.8,293.19,27.1,NS,57.2,17.7,62.12,24.4,NS,NA,NA,NA,NA,NA,47.41,3.8,59.03,5.9,Lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Hubbard & Trauner, 2007)",Hubbard,2007,F,American English,Constrained,Imitation,18,10,NA,NA,NA,NA,NA,1.828,0.09,1.856,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Nakai, et al., 2014)",Nakai,2014,G,Japanese,Spontaneous,Lexical Elicitation,6,16,NA,NA,NA,NA,NA,183.21,33.9,198.18,36.23,NS,45.14,12.2,48.19,13.25,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Nakai, et al., 2014)",Nakai,2014,H,Japanese,Spontaneous,Lexical Elicitation,20,21,NA,NA,NA,NA,NA,202.13,34.27,224.39,48.13,NS,50.26,12.32,61.73,17.09,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Kaland, Krahmer, & Swerts, 2012)",Kaland,2012,I,Dutch,Spontaneous,Sentence Elicitation,20,20,NA,NA,NA,NA,NA,0.48,0.16,0.36,0.18,Lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Grossman, et al., 2010)",Grossmann,2010,J,American English,Spontaneous,Lexical Elicitation,11,9,190.89,57.87,155.82,47.51,NS,170,86.64,108.64,53.94,NS,NA,NA,NA,NA,NA,68.78,4.5,69.27,3.52,NS,NA,NA,NA,NA,NA,0.9,0.17,0.76,0.2,Longer,5.31,1.31,5.44,1.54,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Bonneh, et al., 2011)",Bonneh,2011,K,Hebrew,Spontaneous,Lexical Elicitation,41,42,243,51,236,40,NS,264,23,249,25,Wider,NA,NA,NA,NA,Higher,NA,NA,NA,NA,NA,70,NA,66,NA,Longer,NA,NA,NA,NA,NA,27.9,,31.7,,Slower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Green & Tobin, 2009)",Green,2009,L,Hebrew,Spontaneous,Sentence Elicitation,10,10,NA,NA,NA,NA,NA,26.9,NA,2,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Nadig & Shaw, 2012)",Nadig,2012,M,Canadian English,Social Interaction,Social Interaction,15,13,225.43,17.21,214.99,16.69,NS,217.04,63.83,132.6,68.29,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,53.2,148,43.57,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
